instruction,output
Audit : Des trucs bizarres la nuit cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Securite : Qui a lu EMPLOYEES ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='SELECT' AND OBJECT_NAME='EMPLOYEES' ORDER BY EVENT_TIMESTAMP DESC;"
Question : Qui a touche EMPLOYEES entre le 1er janvier 2026 et le 31 janvier 2026 ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='EMPLOYEES' AND TRUNC(EVENT_TIMESTAMP) BETWEEN TO_DATE('2026-01-01','YYYY-MM-DD') AND TO_DATE('2026-01-31','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
Audit Oracle : audit : C'est qui le plus actif ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Rapport : audit Oracle : Y a eu des trucs hier ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Des trucs bizarres la nuit cette semaine ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))>=22 AND TRUNC(EVENT_TIMESTAMP)>=TRUNC(SYSDATE-7) ORDER BY EVENT_TIMESTAMP DESC;"
Analyse : Qui a ajoute des donnees dans TRANSACTIONS ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='INSERT' AND OBJECT_NAME='TRANSACTIONS' ORDER BY EVENT_TIMESTAMP DESC;"
Audit : Que fait BACKUP_USR en general ?,"SELECT ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME='BACKUP_USR' ORDER BY EVENT_TIMESTAMP DESC;"
Securite : combien d'actions ont concerne BUDGET ?,SELECT COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='BUDGET';
Analyse : question : Y a eu des trucs sur ACCOUNTS ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='ACCOUNTS' ORDER BY EVENT_TIMESTAMP DESC;"
Bilan : stats : Dis-moi qui travaille le plus sur la base.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL GROUP BY DBUSERNAME ORDER BY NB DESC FETCH FIRST 1 ROWS ONLY;"
Audit : horaire : Connexions entre minuit et 6h hier ?,"SELECT DBUSERNAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE ACTION_NAME='LOGON' AND TO_NUMBER(TO_CHAR(EVENT_TIMESTAMP,'HH24'))<6 AND TRUNC(EVENT_TIMESTAMP)=TRUNC(SYSDATE-1) ORDER BY EVENT_TIMESTAMP DESC;"
Oracle : Qui a bouge PRODUCTS en dernier ?,"SELECT DBUSERNAME, ACTION_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE OBJECT_NAME='PRODUCTS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;"
Question : Qu'est-ce qui s'est passe en juin 2026 ?,"SELECT ID, EVENT_TIMESTAMP, DBUSERNAME, ACTION_NAME, OBJECT_NAME FROM ORACLE_AUDIT_TRAIL WHERE TRUNC(EVENT_TIMESTAMP) >= TO_DATE('2026-06-01','YYYY-MM-DD') AND TRUNC(EVENT_TIMESTAMP) < TO_DATE('2026-07-01','YYYY-MM-DD') ORDER BY EVENT_TIMESTAMP DESC;"
