instruction,output,source
Contrôle : Qu'est-ce qui s'est passé mois dernier ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE EVENT_TIMESTAMP >= ADD_MONTHS(TRUNC(SYSDATE,'MM'),-1) AND EVENT_TIMESTAMP < TRUNC(SYSDATE,'MM') ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 100 ROWS ONLY;",C_period_global
Question : Je veux savoir qui a fait SELECT sur CONTRATS.,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE UPPER(OBJECT_NAME)='CONTRATS' AND UPPER(ACTION_NAME)='SELECT' AND DBUSERNAME IS NOT NULL GROUP BY DBUSERNAME ORDER BY NB DESC;",B_who_action_object
Demande audit : est-ce que l'utilisateur AUDIT_MANAGER a fait un SELECT sur la table EMPLOYEES ?,SELECT COUNT(*) AS NB_ACTIONS FROM ORACLE_AUDIT_TRAIL WHERE UPPER(DBUSERNAME)='AUDIT_MANAGER' AND UPPER(ACTION_NAME)='SELECT' AND UPPER(OBJECT_NAME)='EMPLOYEES';,B_user_action_object_aug
Qu'est-ce qui s'est passé en dernier sur DOSSIERS ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE UPPER(OBJECT_NAME)='DOSSIERS' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 1 ROWS ONLY;",A_last_object
Qui a touché DEPARTMENTS depuis 45 jours ?,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE UPPER(OBJECT_NAME)='DEPARTMENTS' AND EVENT_TIMESTAMP >= SYSDATE-45 ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 100 ROWS ONLY;",C_object_last_n_days
Pour contrôle : question : Quels utilisateurs ont été actifs avant-hier ?,"SELECT DBUSERNAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE DBUSERNAME IS NOT NULL AND EVENT_TIMESTAMP >= TRUNC(SYSDATE-2) AND EVENT_TIMESTAMP < TRUNC(SYSDATE-1) GROUP BY DBUSERNAME ORDER BY NB DESC;",C_period_group_users_aug
VROMUALD a-t-il fait SELECT sur NOUVELLE_TABLE_METIER ?,SELECT COUNT(*) AS NB_ACTIONS FROM ORACLE_AUDIT_TRAIL WHERE UPPER(DBUSERNAME)='VROMUALD' AND UPPER(ACTION_NAME)='SELECT' AND UPPER(OBJECT_NAME)='NOUVELLE_TABLE_METIER';,B_user_action_object
Je veux savoir Combien d'actions par type sur CONTRATS ?,"SELECT ACTION_NAME, COUNT(*) AS NB FROM ORACLE_AUDIT_TRAIL WHERE UPPER(OBJECT_NAME)='CONTRATS' AND ACTION_NAME IS NOT NULL GROUP BY ACTION_NAME ORDER BY NB DESC;",D_group_action_object
Montre les DELETE de REPORT_USER sur NOUVELLE_TABLE_METIER.,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE UPPER(DBUSERNAME)='REPORT_USER' AND UPPER(ACTION_NAME)='DELETE' AND UPPER(OBJECT_NAME)='NOUVELLE_TABLE_METIER' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 100 ROWS ONLY;",B_user_action_object
Besoin audit : montre les INSERT de PROD2_STB sur FACTURES.,"SELECT DBUSERNAME, ACTION_NAME, OBJECT_NAME, EVENT_TIMESTAMP FROM ORACLE_AUDIT_TRAIL WHERE UPPER(DBUSERNAME)='PROD2_STB' AND UPPER(ACTION_NAME)='INSERT' AND UPPER(OBJECT_NAME)='FACTURES' ORDER BY EVENT_TIMESTAMP DESC FETCH FIRST 100 ROWS ONLY;",B_user_action_object_aug
